,id,name,organization,title,ressource-type,licence,private,projects,progress,state,type,distributor,resources_count,spatial,vertical-extent,eov,metadata_created,metadata_modified,ERROR,INFO,WARNING,sum
0,4119835e-e185-4c76-bb59-6b026ea2879a,ca-cioos_d94882f8-c069-454d-a0ea-96c2b17d789d,Hakai Institute,LiDAR Derived Watersheds with Metrics - Calvert Island,dataset,CC-BY-4.0,False,Airborne Coastal Observatory,completed,active,dataset,Hakai Institute,2,"{'type': 'Polygon', 'coordinates': [[[-128.159953, 51.411975], [-127.869461, 51.411975], [-127.869461, 51.734199], [-128.159953, 51.734199], [-128.159953, 51.411975]]]}","[{'max': '0.0', 'min': '0.0'}]",other,2023-11-09T06:12:57.696107,2024-03-14T19:30:43.788899,,1.0,2.0,3.0
1,b352aa68-d03a-4d8f-a0bc-b36539008241,ca-cioos_60f653ae-a3fd-484d-807c-3d7e4a0712cb,Hakai Institute,"Biodiversity Surveys of the Gwaxdlala/Nalaxdlala Indigenous Protected and Conserved Area (IPCA) in Knight Inlet, British Columbia",dataset,CC-BY-4.0,False,"Nearshore, Genomics",onGoing,active,dataset,Hakai Institute,3,"{'type': 'Polygon', 'coordinates': [[[-126.1, 50.65], [-125.7, 50.65], [-125.7, 50.71], [-126.1, 50.71], [-126.1, 50.65]]]}","[{'max': '30.0', 'min': '0.0'}]","fishAbundanceAndDistribution, macroalgalCanopyCoverAndComposition, invertebrateAbundanceAndDistribution, other",2023-11-09T06:13:01.591872,2024-03-14T19:31:01.305403,,3.0,2.0,5.0
2,7eeba571-1811-433d-9105-7dbd46773261,ca-cioos_e2baa28d-c063-4354-ae1f-2abdb8397d8f,Hakai Institute,Gordon River Archaeology - 2022 - Hakai Airborne Coastal Observatory,dataset,CC-BY-4.0,False,"Geospatial, Airborne Coastal Observatory",completed,active,dataset,Hakai Institute,2,"{'type': 'Polygon', 'coordinates': [[[-124.6, 48.62], [-124.1, 48.62], [-124.1, 48.88], [-124.6, 48.88], [-124.6, 48.62]]]}","[{'max': '1500.0', 'min': '0.0'}]",other,2023-11-09T06:13:05.520682,2024-03-15T20:30:16.716891,,2.0,,2.0
3,a9227fa4-55f7-4ab1-b051-d83d2adcbfa2,ca-cioos_1c9b7bcd-d3cc-4856-9428-df7abb2149f0,Hakai Institute,Mobile Invertebrate Rocky Intertidal Surveys - BC Central Coast - 2016-2018,dataset,CC-BY-4.0,False,Nearshore,completed,active,dataset,Hakai Institute,1,"{'type': 'Polygon', 'coordinates': [[[-128.24596616, 51.41449798], [-127.75115224, 51.41449798], [-127.75115224, 51.74287494], [-128.24596616, 51.74287494], [-128.24596616, 51.41449798]]]}","[{'max': '0.0', 'min': '0.0'}]","other, invertebrateAbundanceAndDistribution",2023-11-09T06:13:07.521657,2024-03-15T20:30:29.197619,,3.0,,3.0
4,ea12c489-306e-44c4-95d3-c62879f2fc2e,ca-cioos_6844547c-708e-437b-aef7-157b4d9d9bcb,Hakai Institute,"Nutrient and dissolved organic carbon in fresh and marine waters of Kwakshua Channel, British Columbia, Canada. Version 1.0.",dataset,CC-BY-4.0,False,Watersheds,completed,active,dataset,Hakai Institute,1,"{'type': 'Polygon', 'coordinates': [[[-128.15445681, 51.61731613], [-127.95404703, 51.61731613], [-127.95404703, 51.71899959], [-128.15445681, 51.71899959], [-128.15445681, 51.61731613]]]}","[{'max': '5.0', 'min': '0.0'}]","nutrients, dissolvedOrganicCarbon",2023-11-09T06:13:09.830722,2024-03-14T17:30:27.306180,,3.0,,3.0
5,a30d7fce-421d-49b7-81ff-8f35d76dd96e,ca-cioos_8c981d76-5fea-44af-904f-58b159838b0a,Hakai Institute,Stream Event Sampling - Calvert Island,dataset,CC-BY-4.0,False,"Watersheds, Geospatial",completed,active,dataset,Hakai Institute,4,"{'type': 'Polygon', 'coordinates': [[[-128.1438446044922, 51.62526373476129], [-127.9639434814453, 51.62526373476129], [-127.9639434814453, 51.67809055534988], [-128.1438446044922, 51.67809055534988], [-128.1438446044922, 51.62526373476129]]]}","[{'max': '0.0', 'min': '0.0'}]",other,2023-11-09T06:13:11.829072,2024-03-14T19:30:41.089459,1.0,3.0,2.0,6.0
6,6e5bf145-eb8e-47d5-8f58-50d38841b381,ca-cioos_c3eff62f-bcee-4faa-a7e1-7b9380d94e74,Hakai Institute,"Ancient Forest Wetlands, BC - Upper Fraser River - 2019 - Airborne Coastal Observatory",dataset,CC-BY-4.0,False,"Geospatial, Airborne Coastal Observatory",completed,active,dataset,Hakai Institute,2,"{'type': 'Polygon', 'coordinates': [[[-121.3, 53.79], [-121.2, 53.79], [-121.2, 53.84], [-121.3, 53.84], [-121.3, 53.79]]]}","[{'max': '500.0', 'min': '0.0'}]",other,2023-11-09T06:13:14.524572,2024-03-15T21:00:40.893746,1.0,2.0,3.0,6.0
7,14202e87-f7b0-482d-8722-e02df68f797c,ca-cioos_fd5ada9a-5719-4ca1-89d2-17adb48d1493,Hakai Institute,"Eelgrass (Z. marina) extent at Gulf Islands National Park Reserve eelgrass monitoring sites (2017, 2018) v1.0.0",dataset,CC-BY-4.0,False,"Nearshore, Geospatial",completed,active,dataset,Hakai Institute,1,"{'type': 'Polygon', 'coordinates': [[[-123.81789453, 48.48393505], [-122.96096027, 48.48393505], [-122.96096027, 49.05595865], [-123.81789453, 49.05595865], [-123.81789453, 48.48393505]]]}","[{'max': '100.0', 'min': '0.0'}]",other,2023-11-09T06:13:16.814775,2024-03-14T18:30:24.982757,,5.0,1.0,6.0
8,27904ff6-58b1-4854-bf77-3e586deb9596,ca-cioos_bafcd0eb-8249-471b-b93b-0797cfeea287,Hakai Institute,Kelp Monitoring - MAPP - Hakai Institute - 2020 - Airborne Coastal Observatory,dataset,CC-BY-4.0,False,"Nearshore, Airborne Coastal Observatory",completed,active,dataset,Hakai Institute,2,"{'type': 'Polygon', 'coordinates': [[[-132.3, 49.87], [-124.8, 49.87], [-124.8, 52.98], [-132.3, 52.98], [-132.3, 49.87]]]}","[{'max': '0.0', 'min': '0.0'}]","other, macroalgalCanopyCoverAndComposition",2023-11-09T06:13:18.814402,2024-03-14T19:30:54.426502,,2.0,3.0,5.0
9,40416c03-d88a-4f15-aea3-a7b275612c4f,ca-cioos_3bc02dd8-7654-44f0-8c7c-02739937bdf4,Hakai Institute,Seastar & Macroinvertebrate Dynamics - BC Central Coast,dataset,CC-BY-4.0,False,Nearshore,onGoing,active,dataset,Hakai Institute,1,"{'type': 'Polygon', 'coordinates': [[[-128.2, 51.63], [-128.1, 51.63], [-128.1, 51.67], [-128.2, 51.67], [-128.2, 51.63]]]}","[{'max': '0.0', 'min': '-5.0'}]","other, invertebrateAbundanceAndDistribution",2023-11-09T06:13:21.583033,2024-03-15T21:00:34.988844,,6.0,5.0,11.0
10,63f1b001-7b75-4f30-934c-ff76e5e14b87,ca-cioos_b52d5602-f81d-4565-9574-e448e99bc997,Hakai Institute,Bathymetry for Six Lakes on Calvert and Hecate Islands - 2016 - British Columbia - Canada,dataset,CC-BY-4.0,False,"Watersheds, Geospatial",completed,active,dataset,Hakai Institute,2,"{'type': 'Polygon', 'coordinates': [[[-128.09646606445312, 51.5996802644666], [-127.9508972167969, 51.5996802644666], [-127.9508972167969, 51.69171329024539], [-128.09646606445312, 51.69171329024539], [-128.09646606445312, 51.5996802644666]]]}","[{'max': '0.0', 'min': '0.0'}]",other,2023-11-09T06:13:23.994916,2024-03-14T21:00:46.279277,,2.0,2.0,4.0
