,record_id,level,message
0,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,ERROR,No projects associated
1,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,INFO,Title is greater than 60 characters
2,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,INFO,No version
3,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,No DOI defined
4,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,No funder
5,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,Contact missing ORCID: contact['individual-name']='Geospatial Technology Team' contact.get('organisation-name')='Hakai Institute'
6,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,Contact missing organization ROR:  contact['individual-name']='Geospatial Technology Team' contact['organisation-name']='Hakai Institute'
7,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,Contact missing ORCID: contact['individual-name']='Airborne Coastal Observatory' contact.get('organisation-name')='Airborne Coastal Observatory - Hakai Institute'
8,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,Contact missing organization ROR:  contact['individual-name']='Airborne Coastal Observatory' contact['organisation-name']='Airborne Coastal Observatory - Hakai Institute'
9,8fcbc2f9-06bb-4510-8bc1-4ba0488d4ac5,WARNING,Record isn't accesible via a general public repository
0,bb8eb8d3-37d0-451f-ae77-fdcca9844223,WARNING,Title contains acronyms potentially
1,bb8eb8d3-37d0-451f-ae77-fdcca9844223,INFO,Title is greater than 60 characters
2,bb8eb8d3-37d0-451f-ae77-fdcca9844223,INFO,No version
3,bb8eb8d3-37d0-451f-ae77-fdcca9844223,WARNING,No DOI defined
4,bb8eb8d3-37d0-451f-ae77-fdcca9844223,WARNING,"Contact missing ORCID: contact['individual-name']='Frazer, Gordon W.' contact.get('organisation-name')='Hakai Institute'"
5,bb8eb8d3-37d0-451f-ae77-fdcca9844223,WARNING,"Contact missing organization ROR:  contact['individual-name']='Frazer, Gordon W.' contact['organisation-name']='Hakai Institute'"
6,bb8eb8d3-37d0-451f-ae77-fdcca9844223,INFO,"Contact missing ORCID: contact['individual-name']='Floyd, Bill' contact.get('organisation-name')=''"
7,bb8eb8d3-37d0-451f-ae77-fdcca9844223,WARNING,Record isn't accesible via a general public repository
0,3e6e662a-f48c-47fc-8dcd-478a787f5131,ERROR,No projects associated
1,3e6e662a-f48c-47fc-8dcd-478a787f5131,INFO,Title is greater than 60 characters
2,3e6e662a-f48c-47fc-8dcd-478a787f5131,INFO,No version
3,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,No DOI defined
4,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,No funder
5,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,No publisher
6,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Contact missing ORCID: contact['individual-name']='Hakai Geospatial Technology Team' contact.get('organisation-name')='Hakai Institute'
7,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Contact missing organization ROR:  contact['individual-name']='Hakai Geospatial Technology Team' contact['organisation-name']='Hakai Institute'
8,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Contact missing ORCID: contact['individual-name']='Will McInnes' contact.get('organisation-name')='Hakai Institute'
9,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Contact missing organization ROR:  contact['individual-name']='Will McInnes' contact['organisation-name']='Hakai Institute'
10,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Contact missing organization ROR:  contact['individual-name']='' contact['organisation-name']='Hakai Institute'
11,3e6e662a-f48c-47fc-8dcd-478a787f5131,INFO,Contact missing ORCID: contact['individual-name']='TRIM BC Base Annotations data' contact.get('organisation-name')='GEOBC TRIM Program'
12,3e6e662a-f48c-47fc-8dcd-478a787f5131,INFO,Contact missing organization ROR:  contact['individual-name']='TRIM BC Base Annotations data' contact['organisation-name']='GEOBC TRIM Program'
13,3e6e662a-f48c-47fc-8dcd-478a787f5131,WARNING,Record isn't accesible via a general public repository
0,996ee978-d02e-499f-b7f0-79ffaedea219,INFO,Title is greater than 60 characters
1,996ee978-d02e-499f-b7f0-79ffaedea219,INFO,No version
2,996ee978-d02e-499f-b7f0-79ffaedea219,WARNING,No DOI defined
3,996ee978-d02e-499f-b7f0-79ffaedea219,WARNING,No funder
4,996ee978-d02e-499f-b7f0-79ffaedea219,WARNING,"Contact missing ORCID: contact['individual-name']='Technology Team, Geospatial' contact.get('organisation-name')='Hakai Institute'"
5,996ee978-d02e-499f-b7f0-79ffaedea219,WARNING,"Contact missing ORCID: contact['individual-name']='Coastal Observatory, Airborne' contact.get('organisation-name')='Hakai Institute'"
6,996ee978-d02e-499f-b7f0-79ffaedea219,WARNING,Record isn't accesible via a general public repository
0,d875b549-2a4c-4f4a-b389-69c97a26f506,ERROR,No projects associated
1,d875b549-2a4c-4f4a-b389-69c97a26f506,INFO,No version
2,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,No funder
3,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,No publisher
4,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,Contact missing ORCID: contact['individual-name']='Luba Reshitnyk' contact.get('organisation-name')='Hakai Institute'
5,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,Contact missing organization ROR:  contact['individual-name']='Luba Reshitnyk' contact['organisation-name']='Hakai Institute'
6,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,Contact missing organization ROR:  contact['individual-name']='' contact['organisation-name']='Hakai Institute'
7,d875b549-2a4c-4f4a-b389-69c97a26f506,WARNING,Record isn't accesible via a general public repository
0,203f5c98-e8be-4c41-b523-dddea723ccbf,WARNING,Title contains acronyms potentially
1,203f5c98-e8be-4c41-b523-dddea723ccbf,INFO,Title is greater than 60 characters
2,203f5c98-e8be-4c41-b523-dddea723ccbf,WARNING,No DOI defined
3,203f5c98-e8be-4c41-b523-dddea723ccbf,ERROR,Invalid distributor organisation-name: organization_name='Hakai Geospatial' expects 'Hakai Institute'
4,203f5c98-e8be-4c41-b523-dddea723ccbf,WARNING,No funder
5,203f5c98-e8be-4c41-b523-dddea723ccbf,INFO,Contact missing organization ROR:  contact['individual-name']='' contact['organisation-name']='Hakai Geospatial'
6,203f5c98-e8be-4c41-b523-dddea723ccbf,WARNING,Record isn't accesible via a general public repository
0,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,ERROR,No projects associated
1,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,INFO,Title is greater than 60 characters
2,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,INFO,No version
3,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,No DOI defined
4,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,No funder
5,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing ORCID: contact['individual-name']='Will McInnes' contact.get('organisation-name')='Hakai Institute'
6,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing organization ROR:  contact['individual-name']='Will McInnes' contact['organisation-name']='Hakai Institute'
7,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing ORCID: contact['individual-name']='Keith Holmes' contact.get('organisation-name')='Hakai Institute'
8,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing organization ROR:  contact['individual-name']='Keith Holmes' contact['organisation-name']='Hakai Institute'
9,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing ORCID: contact['individual-name']='Geospatial Technology Team' contact.get('organisation-name')='Hakai Institute'
10,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing organization ROR:  contact['individual-name']='Geospatial Technology Team' contact['organisation-name']='Hakai Institute'
11,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing ORCID: contact['individual-name']='Hakai Institute' contact.get('organisation-name')='Hakai Institute'
12,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Contact missing organization ROR:  contact['individual-name']='Hakai Institute' contact['organisation-name']='Hakai Institute'
13,37823b0a-c8c0-48f8-8ded-4eafa8f3e4d6,WARNING,Record isn't accesible via a general public repository
0,92b7a1eb-87a7-4a55-9093-6e5b354041fa,ERROR,No projects associated
1,92b7a1eb-87a7-4a55-9093-6e5b354041fa,INFO,Title is greater than 60 characters
2,92b7a1eb-87a7-4a55-9093-6e5b354041fa,INFO,No version
3,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,No DOI defined
4,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,No funder
5,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,No publisher
6,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,Contact missing ORCID: contact['individual-name']='Matthew Henderson' contact.get('organisation-name')='Hakai Institute'
7,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,Contact missing organization ROR:  contact['individual-name']='Matthew Henderson' contact['organisation-name']='Hakai Institute'
8,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,Contact missing organization ROR:  contact['individual-name']='' contact['organisation-name']='Hakai Institute'
9,92b7a1eb-87a7-4a55-9093-6e5b354041fa,ERROR,Invalid resources.url.status_code: 404 for resources[1].url=https://drive.google.com/open?id=1tPLRwEzDRdKZ-vmFmbJNE57iJha_cFsf
10,92b7a1eb-87a7-4a55-9093-6e5b354041fa,ERROR,Empty resource name
11,92b7a1eb-87a7-4a55-9093-6e5b354041fa,ERROR,Empty resource name
12,92b7a1eb-87a7-4a55-9093-6e5b354041fa,WARNING,Record isn't accesible via a general public repository
0,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,INFO,Title is greater than 60 characters
1,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,INFO,No version
2,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,WARNING,No funder
3,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,WARNING,"Contact missing ORCID: contact['individual-name']='Haughton, Emily R.' contact.get('organisation-name')='Hakai Institute'"
4,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,INFO,"Contact missing ORCID: contact['individual-name']='Floyd, William C.' contact.get('organisation-name')=''"
5,0b2d2b69-9a1c-493f-9769-ae94eac40ca5,WARNING,Record isn't accesible via a general public repository
0,f2158f39-9a74-4f33-bd11-f2370d543a24,INFO,Title is greater than 60 characters
1,f2158f39-9a74-4f33-bd11-f2370d543a24,INFO,No version
2,f2158f39-9a74-4f33-bd11-f2370d543a24,WARNING,No funder
3,f2158f39-9a74-4f33-bd11-f2370d543a24,WARNING,Record isn't accesible via a general public repository
0,1661f318-6d3c-47b2-9b3a-51f139684f21,ERROR,No projects associated
1,1661f318-6d3c-47b2-9b3a-51f139684f21,INFO,Title is greater than 60 characters
2,1661f318-6d3c-47b2-9b3a-51f139684f21,INFO,No version
3,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,No DOI defined
4,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,No funder
5,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,Contact missing ORCID: contact['individual-name']='Will McInnes' contact.get('organisation-name')='Hakai Institute'
6,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,Contact missing organization ROR:  contact['individual-name']='Will McInnes' contact['organisation-name']='Hakai Institute'
7,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,Contact missing ORCID: contact['individual-name']='Keith Holmes' contact.get('organisation-name')='Hakai Institute'
8,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,Contact missing organization ROR:  contact['individual-name']='Keith Holmes' contact['organisation-name']='Hakai Institute'
9,1661f318-6d3c-47b2-9b3a-51f139684f21,WARNING,Contact missing ORCID: contact['individual-name']='Hakai Geospatial Technology Team' contact.get('organisation-name')='Hakai Institute'
